feature1,feature2,feature3,label
5.1,3.5,1.4,ClassA
4.9,3.0,1.4,ClassA
4.7,3.2,1.3,ClassA
4.6,3.1,1.5,ClassA
5.0,3.6,1.4,ClassA
5.4,3.9,1.7,ClassA
4.6,3.4,1.4,ClassA
5.0,3.4,1.5,ClassA
4.4,2.9,1.4,ClassA
4.9,3.1,1.5,ClassA
7.0,3.2,4.7,ClassB
6.4,3.2,4.5,ClassB
6.9,3.1,4.9,ClassB
5.5,2.3,4.0,ClassB
6.5,2.8,4.6,ClassB
5.7,2.8,4.5,ClassB
6.3,3.3,4.7,ClassB
4.9,2.4,3.3,ClassB
6.6,2.9,4.6,ClassB
5.2,2.7,3.9,ClassB
6.3,3.3,6.0,ClassC
5.8,2.7,5.1,ClassC
7.1,3.0,5.9,ClassC
6.3,2.9,5.6,ClassC
6.5,3.0,5.8,ClassC
7.6,3.0,6.6,ClassC
4.9,2.5,4.5,ClassC
7.3,2.9,6.3,ClassC
6.7,2.5,5.8,ClassC
7.2,3.6,6.1,ClassC
